Assists,AssistsPercentage,BlockedShots,BlocksPercentage,DefensiveRebounds,DefensiveReboundsPercentage,DoubleDoubles,EffectiveFieldGoalsPercentage,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FantasyPointsFantasyDraft,FantasyPointsYahoo,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowsPercentage,Games,GlobalTeamID,IsClosed,Losses,Minutes,Name,OffensiveRebounds,OffensiveReboundsPercentage,OpponentPosition,OpponentStat,PersonalFouls,PlayerEfficiencyRating,PlusMinus,Points,Possessions,Rebounds,Season,SeasonType,Seconds,StatID,Steals,StealsPercentage,Team,TeamID,ThreePointersAttempted,ThreePointersMade,ThreePointersPercentage,TotalReboundsPercentage,TripleDoubles,TrueShootingAttempts,TrueShootingPercentage,TurnOversPercentage,Turnovers,TwoPointersAttempted,TwoPointersMade,TwoPointersPercentage,Updated,UsageRatePercentage,Wins
2192.0,,392.2,,3032.8,,45.1,57.7,18316.1,19788.1,19427.3,19788.1,19427.3,7903.7,3527.5,50.3,1864.1,1462.8,88.5,82,20000003,False,58,22206,Atlanta Hawks,836.2,,,"{'StatID': 401678, 'TeamID': 3, 'SeasonType': 1, 'Season': 2018, 'Name': 'Atlanta Hawks', 'Team': 'ATL', 'Wins': 58, 'Losses': 24, 'OpponentPosition': None, 'Possessions': 9048.2, 'GlobalTeamID': 20000003, 'Updated': '2018-06-24T20:19:33', 'Games': 82, 'FantasyPoints': 19834.3, 'Minutes': 22205, 'Seconds': 41, 'FieldGoalsMade': 3759.7, 'FieldGoalsAttempted': 8009.6, 'FieldGoalsPercentage': 52.9, 'EffectiveFieldGoalsPercentage': 60.4, 'TwoPointersMade': 2690.1, 'TwoPointersAttempted': 5170.7, 'TwoPointersPercentage': 58.6, 'ThreePointersMade': 1069.5, 'ThreePointersAttempted': 2838.9, 'ThreePointersPercentage': 42.5, 'FreeThrowsMade': 1466.2, 'FreeThrowsAttempted': 1900.1, 'FreeThrowsPercentage': 87.0, 'OffensiveRebounds': 947.8, 'DefensiveRebounds': 3138.7, 'Rebounds': 4086.5, 'OffensiveReboundsPercentage': None, 'DefensiveReboundsPercentage': None, 'TotalReboundsPercentage': None, 'Assists': 2407.3, 'Steals': 800.2, 'BlockedShots': 510.5, 'Turnovers': 1356.9, 'PersonalFouls': 1871.9, 'Points': 10055.1, 'TrueShootingAttempts': 8845.6, 'TrueShootingPercentage': 64.0, 'PlayerEfficiencyRating': None, 'AssistsPercentage': None, 'StealsPercentage': None, 'BlocksPercentage': None, 'TurnOversPercentage': None, 'UsageRatePercentage': None, 'FantasyPointsFanDuel': 21145.0, 'FantasyPointsDraftKings': 21404.0, 'FantasyPointsYahoo': 21145.0, 'PlusMinus': 2518.8, 'DoubleDoubles': 91.3, 'TripleDoubles': 10.1, 'FantasyPointsFantasyDraft': 21404.0, 'IsClosed': False, 'OpponentStat': None}",1810.0,,-2529.0,9551.3,9048.2,3869.0,2018,1,64,401658,719.0,,ATL,3,2867.1,1033.5,40.6,,0.0,8723.8,61.6,,1388.5,5036.6,2494.1,55.8,2018-06-24T20:19:33,,24
2186.4,,439.5,,3213.1,,57.5,57.9,18775.1,20313.0,19792.8,20313.0,19792.8,8016.4,3534.3,49.7,2085.0,1609.4,87.0,82,20000008,False,54,22373,Brooklyn Nets,891.5,,,"{'StatID': 401682, 'TeamID': 8, 'SeasonType': 1, 'Season': 2018, 'Name': 'Brooklyn Nets', 'Team': 'BKN', 'Wins': 54, 'Losses': 28, 'OpponentPosition': None, 'Possessions': 9156.9, 'GlobalTeamID': 20000008, 'Updated': '2018-06-24T20:19:33', 'Games': 82, 'FantasyPoints': 19724.0, 'Minutes': 22382, 'Seconds': 13, 'FieldGoalsMade': 3852.1, 'FieldGoalsAttempted': 8265.4, 'FieldGoalsPercentage': 52.5, 'EffectiveFieldGoalsPercentage': 58.2, 'TwoPointersMade': 3017.0, 'TwoPointersAttempted': 6000.1, 'TwoPointersPercentage': 56.7, 'ThreePointersMade': 835.1, 'ThreePointersAttempted': 2265.3, 'ThreePointersPercentage': 41.6, 'FreeThrowsMade': 1657.8, 'FreeThrowsAttempted': 2165.0, 'FreeThrowsPercentage': 86.3, 'OffensiveRebounds': 961.3, 'DefensiveRebounds': 3359.6, 'Rebounds': 4320.9, 'OffensiveReboundsPercentage': None, 'DefensiveReboundsPercentage': None, 'TotalReboundsPercentage': None, 'Assists': 2009.4, 'Steals': 711.1, 'BlockedShots': 507.2, 'Turnovers': 1109.0, 'PersonalFouls': 1821.2, 'Points': 10197.1, 'TrueShootingAttempts': 9218.0, 'TrueShootingPercentage': 62.3, 'PlayerEfficiencyRating': None, 'AssistsPercentage': None, 'StealsPercentage': None, 'BlocksPercentage': None, 'TurnOversPercentage': None, 'UsageRatePercentage': None, 'FantasyPointsFanDuel': 20942.3, 'FantasyPointsDraftKings': 21069.3, 'FantasyPointsYahoo': 20942.3, 'PlusMinus': 1737.8, 'DoubleDoubles': 99.2, 'TripleDoubles': 5.6, 'FantasyPointsFantasyDraft': 21069.3, 'IsClosed': False, 'OpponentStat': None}",1901.2,,-1734.5,9851.1,9156.9,4104.5,2018,1,54,401662,578.2,,BKN,8,3296.5,1173.2,40.1,,1.1,8933.7,62.1,,1316.3,4719.9,2361.1,56.4,2018-06-24T20:19:33,,28
2075.9,,421.5,,3243.5,,38.3,58.4,18627.1,20038.9,19729.3,20038.9,19729.3,7860.8,3539.9,50.7,1912.5,1474.1,86.9,82,20000009,False,27,22321,Boston Celtics,864.4,,,"{'StatID': 400448, 'TeamID': 9, 'SeasonType': 1, 'Season': 2018, 'Name': 'Boston Celtics', 'Team': 'BOS', 'Wins': 27, 'Losses': 55, 'OpponentPosition': None, 'Possessions': 8874.7, 'GlobalTeamID': 20000009, 'Updated': '2018-06-24T20:19:33', 'Games': 82, 'FantasyPoints': 17991.5, 'Minutes': 22319, 'Seconds': 57, 'FieldGoalsMade': 3455.4, 'FieldGoalsAttempted': 7857.4, 'FieldGoalsPercentage': 49.6, 'EffectiveFieldGoalsPercentage': 55.8, 'TwoPointersMade': 2588.7, 'TwoPointersAttempted': 5300.3, 'TwoPointersPercentage': 55.0, 'ThreePointersMade': 866.7, 'ThreePointersAttempted': 2557.2, 'ThreePointersPercentage': 38.2, 'FreeThrowsMade': 1503.4, 'FreeThrowsAttempted': 1970.0, 'FreeThrowsPercentage': 86.0, 'OffensiveRebounds': 891.5, 'DefensiveRebounds': 3157.9, 'Rebounds': 4049.3, 'OffensiveReboundsPercentage': None, 'DefensiveReboundsPercentage': None, 'TotalReboundsPercentage': None, 'Assists': 1964.4, 'Steals': 669.4, 'BlockedShots': 410.2, 'Turnovers': 1254.4, 'PersonalFouls': 1770.5, 'Points': 9280.8, 'TrueShootingAttempts': 8724.2, 'TrueShootingPercentage': 60.0, 'PlayerEfficiencyRating': None, 'AssistsPercentage': None, 'StealsPercentage': None, 'BlocksPercentage': None, 'TurnOversPercentage': None, 'UsageRatePercentage': None, 'FantasyPointsFanDuel': 19071.2, 'FantasyPointsDraftKings': 19371.2, 'FantasyPointsYahoo': 19071.2, 'PlusMinus': -1664.6, 'DoubleDoubles': 77.8, 'TripleDoubles': 0.0, 'FantasyPointsFantasyDraft': 19371.2, 'IsClosed': False, 'OpponentStat': None}",1823.5,,1656.7,9612.2,8874.7,4107.9,2018,1,0,400444,680.7,,BOS,9,2808.5,1058.3,42.5,,2.3,8702.3,62.2,,1232.9,5052.3,2481.7,55.3,2018-06-24T20:19:33,,55
1995.9,,424.9,,3271.7,,81.1,57.3,19004.3,20373.3,20059.1,20373.3,20059.1,8006.2,3603.0,50.7,2497.4,1866.3,84.2,82,20000002,False,46,22297,Charlotte Hornets,927.5,,,"{'StatID': 401677, 'TeamID': 2, 'SeasonType': 1, 'Season': 2018, 'Name': 'Charlotte Hornets', 'Team': 'CHA', 'Wins': 46, 'Losses': 36, 'OpponentPosition': None, 'Possessions': 9102.9, 'GlobalTeamID': 20000002, 'Updated': '2018-06-24T20:19:33', 'Games': 82, 'FantasyPoints': 19179.4, 'Minutes': 22285, 'Seconds': 48, 'FieldGoalsMade': 3798.0, 'FieldGoalsAttempted': 8113.3, 'FieldGoalsPercentage': 52.7, 'EffectiveFieldGoalsPercentage': 60.0, 'TwoPointersMade': 2754.4, 'TwoPointersAttempted': 5333.0, 'TwoPointersPercentage': 58.2, 'ThreePointersMade': 1043.6, 'ThreePointersAttempted': 2780.3, 'ThreePointersPercentage': 42.3, 'FreeThrowsMade': 1337.7, 'FreeThrowsAttempted': 1683.7, 'FreeThrowsPercentage': 89.6, 'OffensiveRebounds': 778.8, 'DefensiveRebounds': 3259.3, 'Rebounds': 4038.0, 'OffensiveReboundsPercentage': None, 'DefensiveReboundsPercentage': None, 'TotalReboundsPercentage': None, 'Assists': 2286.7, 'Steals': 609.7, 'BlockedShots': 456.4, 'Turnovers': 1205.9, 'PersonalFouls': 2072.6, 'Points': 9977.3, 'TrueShootingAttempts': 8854.1, 'TrueShootingPercentage': 63.5, 'PlayerEfficiencyRating': None, 'AssistsPercentage': None, 'StealsPercentage': None, 'BlocksPercentage': None, 'TurnOversPercentage': None, 'UsageRatePercentage': None, 'FantasyPointsFanDuel': 20245.5, 'FantasyPointsDraftKings': 20636.2, 'FantasyPointsYahoo': 20245.5, 'PlusMinus': -120.6, 'DoubleDoubles': 82.3, 'TripleDoubles': 4.5, 'FantasyPointsFantasyDraft': 20636.2, 'IsClosed': False, 'OpponentStat': None}",1587.9,,127.4,10001.0,9102.9,4199.2,2018,1,19,401657,630.0,,CHA,2,2515.5,928.6,41.6,,2.3,9105.1,61.9,,1139.4,5490.7,2674.4,54.9,2018-06-24T20:19:33,,36
2165.0,,325.7,,3236.7,,65.4,56.0,18543.5,19972.1,19574.8,19972.1,19574.8,8210.2,3572.6,49.0,1775.0,1345.6,85.4,82,20000011,False,55,22368,Chicago Bulls,890.3,,,"{'StatID': 402483, 'TeamID': 11, 'SeasonType': 1, 'Season': 2018, 'Name': 'Chicago Bulls', 'Team': 'CHI', 'Wins': 55, 'Losses': 27, 'OpponentPosition': None, 'Possessions': 9108.9, 'GlobalTeamID': 20000011, 'Updated': '2018-06-24T20:19:33', 'Games': 82, 'FantasyPoints': 19904.5, 'Minutes': 22384, 'Seconds': 29, 'FieldGoalsMade': 3786.7, 'FieldGoalsAttempted': 8018.6, 'FieldGoalsPercentage': 53.2, 'EffectiveFieldGoalsPercentage': 61.1, 'TwoPointersMade': 2671.0, 'TwoPointersAttempted': 5000.5, 'TwoPointersPercentage': 60.2, 'ThreePointersMade': 1115.7, 'ThreePointersAttempted': 3018.1, 'ThreePointersPercentage': 41.7, 'FreeThrowsMade': 1473.0, 'FreeThrowsAttempted': 1870.8, 'FreeThrowsPercentage': 88.7, 'OffensiveRebounds': 778.8, 'DefensiveRebounds': 3441.9, 'Rebounds': 4220.6, 'OffensiveReboundsPercentage': None, 'DefensiveReboundsPercentage': None, 'TotalReboundsPercentage': None, 'Assists': 2394.9, 'Steals': 663.8, 'BlockedShots': 477.8, 'Turnovers': 1198.0, 'PersonalFouls': 1606.0, 'Points': 10162.2, 'TrueShootingAttempts': 8841.8, 'TrueShootingPercentage': 64.8, 'PlayerEfficiencyRating': None, 'AssistsPercentage': None, 'StealsPercentage': None, 'BlocksPercentage': None, 'TurnOversPercentage': None, 'UsageRatePercentage': None, 'FantasyPointsFanDuel': 21046.2, 'FantasyPointsDraftKings': 21375.5, 'FantasyPointsYahoo': 21046.2, 'PlusMinus': 3250.3, 'DoubleDoubles': 62.0, 'TripleDoubles': 7.9, 'FantasyPointsFantasyDraft': 21375.5, 'IsClosed': False, 'OpponentStat': None}",1770.5,,-3245.8,9511.9,9108.9,4127.1,2018,1,38,402477,705.5,,CHI,11,2872.7,1021.1,40.0,,0.0,8991.2,59.6,,1230.7,5337.5,2551.5,53.9,2018-06-24T20:19:33,,27
2159.3,,350.5,,3110.5,,105.9,61.6,18940.4,20492.0,19946.8,20492.0,19946.8,7836.0,3731.5,53.6,2151.4,1677.0,87.8,82,20000012,False,32,22244,Cleveland Cavaliers,783.3,,,"{'StatID': 400449, 'TeamID': 12, 'SeasonType': 1, 'Season': 2018, 'Name': 'Cleveland Cavaliers', 'Team': 'CLE', 'Wins': 32, 'Losses': 50, 'OpponentPosition': None, 'Possessions': 9032.5, 'GlobalTeamID': 20000012, 'Updated': '2018-06-24T20:19:33', 'Games': 82, 'FantasyPoints': 19545.8, 'Minutes': 22236, 'Seconds': 0, 'FieldGoalsMade': 3864.5, 'FieldGoalsAttempted': 8157.2, 'FieldGoalsPercentage': 53.4, 'EffectiveFieldGoalsPercentage': 60.9, 'TwoPointersMade': 2787.1, 'TwoPointersAttempted': 5231.5, 'TwoPointersPercentage': 60.1, 'ThreePointersMade': 1077.4, 'ThreePointersAttempted': 2925.7, 'ThreePointersPercentage': 41.5, 'FreeThrowsMade': 1352.4, 'FreeThrowsAttempted': 1789.7, 'FreeThrowsPercentage': 85.2, 'OffensiveRebounds': 917.4, 'DefensiveRebounds': 3118.4, 'Rebounds': 4035.8, 'OffensiveReboundsPercentage': None, 'DefensiveReboundsPercentage': None, 'TotalReboundsPercentage': None, 'Assists': 2391.5, 'Steals': 687.5, 'BlockedShots': 387.7, 'Turnovers': 1193.5, 'PersonalFouls': 1911.4, 'Points': 10158.8, 'TrueShootingAttempts': 8944.7, 'TrueShootingPercentage': 64.0, 'PlayerEfficiencyRating': None, 'AssistsPercentage': None, 'StealsPercentage': None, 'BlocksPercentage': None, 'TurnOversPercentage': None, 'UsageRatePercentage': None, 'FantasyPointsFanDuel': 20620.9, 'FantasyPointsDraftKings': 21025.0, 'FantasyPointsYahoo': 20620.9, 'PlusMinus': -433.9, 'DoubleDoubles': 90.2, 'TripleDoubles': 4.5, 'FantasyPointsFantasyDraft': 21025.0, 'IsClosed': False, 'OpponentStat': None}",1716.4,,436.1,10245.6,9032.5,3893.8,2018,1,0,400445,655.9,,CLE,12,2970.8,1105.6,41.9,,20.3,8782.7,65.7,,1229.6,4865.3,2625.9,60.9,2018-06-24T20:19:33,,50
2094.0,,347.1,,3062.1,,45.1,57.8,18080.0,19429.2,19078.5,19429.2,19078.5,7935.2,3525.3,50.0,1724.3,1315.2,86.0,82,20000025,False,58,22317,Dallas Mavericks,750.6,,,"{'StatID': 401693, 'TeamID': 25, 'SeasonType': 1, 'Season': 2018, 'Name': 'Dallas Mavericks', 'Team': 'DAL', 'Wins': 58, 'Losses': 24, 'OpponentPosition': None, 'Possessions': 8851.4, 'GlobalTeamID': 20000025, 'Updated': '2018-06-24T20:19:33', 'Games': 82, 'FantasyPoints': 19002.7, 'Minutes': 22320, 'Seconds': 40, 'FieldGoalsMade': 3627.8, 'FieldGoalsAttempted': 7739.1, 'FieldGoalsPercentage': 52.9, 'EffectiveFieldGoalsPercentage': 60.0, 'TwoPointersMade': 2642.8, 'TwoPointersAttempted': 5021.9, 'TwoPointersPercentage': 59.3, 'ThreePointersMade': 985.0, 'ThreePointersAttempted': 2717.2, 'ThreePointersPercentage': 40.9, 'FreeThrowsMade': 1495.5, 'FreeThrowsAttempted': 1976.8, 'FreeThrowsPercentage': 85.3, 'OffensiveRebounds': 814.8, 'DefensiveRebounds': 3410.3, 'Rebounds': 4225.1, 'OffensiveReboundsPercentage': None, 'DefensiveReboundsPercentage': None, 'TotalReboundsPercentage': None, 'Assists': 2174.0, 'Steals': 670.6, 'BlockedShots': 414.7, 'Turnovers': 1235.2, 'PersonalFouls': 1808.8, 'Points': 9736.2, 'TrueShootingAttempts': 8608.9, 'TrueShootingPercentage': 63.7, 'PlayerEfficiencyRating': None, 'AssistsPercentage': None, 'StealsPercentage': None, 'BlocksPercentage': None, 'TurnOversPercentage': None, 'UsageRatePercentage': None, 'FantasyPointsFanDuel': 20088.0, 'FantasyPointsDraftKings': 20481.3, 'FantasyPointsYahoo': 20088.0, 'PlusMinus': 1398.6, 'DoubleDoubles': 100.3, 'TripleDoubles': 4.5, 'FantasyPointsFantasyDraft': 20481.3, 'IsClosed': False, 'OpponentStat': None}",1777.3,,-1398.6,9455.5,8851.4,3812.6,2018,1,46,401673,651.4,,DAL,25,3029.4,1089.8,40.6,,1.1,8693.9,61.3,,1088.7,4905.8,2435.4,55.9,2018-06-24T20:19:33,,24
2319.4,,455.3,,3097.0,,65.4,60.4,19576.9,21090.4,20738.8,21090.4,20738.8,8002.8,3761.9,53.0,2062.4,1582.3,86.4,82,20000020,False,36,22405,Denver Nuggets,1015.4,,,"{'StatID': 401689, 'TeamID': 20, 'SeasonType': 1, 'Season': 2018, 'Name': 'Denver Nuggets', 'Team': 'DEN', 'Wins': 36, 'Losses': 46, 'OpponentPosition': None, 'Possessions': 8992.0, 'GlobalTeamID': 20000020, 'Updated': '2018-06-24T20:19:33', 'Games': 82, 'FantasyPoints': 19194.4, 'Minutes': 22404, 'Seconds': 0, 'FieldGoalsMade': 3816.0, 'FieldGoalsAttempted': 8014.1, 'FieldGoalsPercentage': 53.6, 'EffectiveFieldGoalsPercentage': 60.7, 'TwoPointersMade': 2809.6, 'TwoPointersAttempted': 5348.7, 'TwoPointersPercentage': 59.2, 'ThreePointersMade': 1006.4, 'ThreePointersAttempted': 2665.4, 'ThreePointersPercentage': 42.6, 'FreeThrowsMade': 1390.7, 'FreeThrowsAttempted': 1883.2, 'FreeThrowsPercentage': 83.2, 'OffensiveRebounds': 899.3, 'DefensiveRebounds': 2946.0, 'Rebounds': 3845.3, 'OffensiveReboundsPercentage': None, 'DefensiveReboundsPercentage': None, 'TotalReboundsPercentage': None, 'Assists': 2287.8, 'Steals': 737.1, 'BlockedShots': 440.7, 'Turnovers': 1236.3, 'PersonalFouls': 1914.8, 'Points': 10029.2, 'TrueShootingAttempts': 8842.7, 'TrueShootingPercentage': 63.9, 'PlayerEfficiencyRating': None, 'AssistsPercentage': None, 'StealsPercentage': None, 'BlocksPercentage': None, 'TurnOversPercentage': None, 'UsageRatePercentage': None, 'FantasyPointsFanDuel': 20372.1, 'FantasyPointsDraftKings': 20604.4, 'FantasyPointsYahoo': 20372.1, 'PlusMinus': -681.8, 'DoubleDoubles': 60.9, 'TripleDoubles': 3.4, 'FantasyPointsFantasyDraft': 20604.4, 'IsClosed': False, 'OpponentStat': None}",1727.7,,678.5,10165.5,8992.0,4112.4,2018,1,59,401669,706.6,,DEN,20,2858.1,1059.4,41.8,,11.3,8910.3,64.2,,1326.5,5144.8,2702.5,59.2,2018-06-24T20:19:33,,46
2105.2,,359.5,,3106.0,,87.9,57.7,18550.9,19976.9,19618.1,19976.9,19618.1,8034.4,3615.4,50.7,1826.9,1360.3,84.0,82,20000014,False,43,22317,Detroit Pistons,936.5,,,"{'StatID': 401684, 'TeamID': 14, 'SeasonType': 1, 'Season': 2018, 'Name': 'Detroit Pistons', 'Team': 'DET', 'Wins': 43, 'Losses': 39, 'OpponentPosition': None, 'Possessions': 8888.2, 'GlobalTeamID': 20000014, 'Updated': '2018-06-24T20:19:33', 'Games': 82, 'FantasyPoints': 18872.0, 'Minutes': 22311, 'Seconds': 42, 'FieldGoalsMade': 3613.2, 'FieldGoalsAttempted': 7874.3, 'FieldGoalsPercentage': 51.7, 'EffectiveFieldGoalsPercentage': 59.1, 'TwoPointersMade': 2589.8, 'TwoPointersAttempted': 5026.4, 'TwoPointersPercentage': 58.0, 'ThreePointersMade': 1023.3, 'ThreePointersAttempted': 2847.9, 'ThreePointersPercentage': 40.5, 'FreeThrowsMade': 1353.5, 'FreeThrowsAttempted': 1744.6, 'FreeThrowsPercentage': 87.5, 'OffensiveRebounds': 852.0, 'DefensiveRebounds': 3192.8, 'Rebounds': 4044.8, 'OffensiveReboundsPercentage': None, 'DefensiveReboundsPercentage': None, 'TotalReboundsPercentage': None, 'Assists': 2325.0, 'Steals': 670.6, 'BlockedShots': 448.5, 'Turnovers': 1310.7, 'PersonalFouls': 1702.9, 'Points': 9603.2, 'TrueShootingAttempts': 8642.0, 'TrueShootingPercentage': 62.7, 'PlayerEfficiencyRating': None, 'AssistsPercentage': None, 'StealsPercentage': None, 'BlocksPercentage': None, 'TurnOversPercentage': None, 'UsageRatePercentage': None, 'FantasyPointsFanDuel': 19991.1, 'FantasyPointsDraftKings': 20371.4, 'FantasyPointsYahoo': 19991.1, 'PlusMinus': 103.7, 'DoubleDoubles': 82.3, 'TripleDoubles': 4.5, 'FantasyPointsFantasyDraft': 20371.4, 'IsClosed': False, 'OpponentStat': None}",1699.5,,-66.5,9589.6,8888.2,4042.5,2018,1,50,401664,707.8,,DET,14,2674.4,998.5,42.0,,1.1,8838.2,61.2,,1182.2,5360.0,2616.9,55.0,2018-06-24T20:19:33,,39
2707.1,,688.6,,3242.4,,57.5,64.1,20843.4,22354.0,22272.5,22354.0,22272.5,7866.5,3954.6,56.7,1879.8,1532.7,91.9,82,20000026,False,24,22248,Golden State Warriors,778.8,,,"{'StatID': 400451, 'TeamID': 26, 'SeasonType': 1, 'Season': 2018, 'Name': 'Golden State Warriors', 'Team': 'GS', 'Wins': 24, 'Losses': 58, 'OpponentPosition': None, 'Possessions': 9166.0, 'GlobalTeamID': 20000026, 'Updated': '2018-06-24T20:19:33', 'Games': 82, 'FantasyPoints': 18951.7, 'Minutes': 22212, 'Seconds': 23, 'FieldGoalsMade': 3714.6, 'FieldGoalsAttempted': 8316.1, 'FieldGoalsPercentage': 50.4, 'EffectiveFieldGoalsPercentage': 56.8, 'TwoPointersMade': 2753.3, 'TwoPointersAttempted': 5620.3, 'TwoPointersPercentage': 55.2, 'ThreePointersMade': 961.3, 'ThreePointersAttempted': 2695.8, 'ThreePointersPercentage': 40.2, 'FreeThrowsMade': 1542.9, 'FreeThrowsAttempted': 2034.2, 'FreeThrowsPercentage': 85.4, 'OffensiveRebounds': 1006.4, 'DefensiveRebounds': 2918.9, 'Rebounds': 3925.3, 'OffensiveReboundsPercentage': None, 'DefensiveReboundsPercentage': None, 'TotalReboundsPercentage': None, 'Assists': 2178.5, 'Steals': 805.8, 'BlockedShots': 337.0, 'Turnovers': 1245.3, 'PersonalFouls': 1706.3, 'Points': 9933.4, 'TrueShootingAttempts': 9211.2, 'TrueShootingPercentage': 60.7, 'PlayerEfficiencyRating': None, 'AssistsPercentage': None, 'StealsPercentage': None, 'BlocksPercentage': None, 'TurnOversPercentage': None, 'UsageRatePercentage': None, 'FantasyPointsFanDuel': 20094.5, 'FantasyPointsDraftKings': 20362.9, 'FantasyPointsYahoo': 20094.5, 'PlusMinus': -2774.7, 'DoubleDoubles': 73.3, 'TripleDoubles': 1.1, 'FantasyPointsFantasyDraft': 20362.9, 'IsClosed': False, 'OpponentStat': None}",1811.1,,2760.0,10485.6,9166.0,4021.1,2018,1,0,400447,740.4,,GS,26,2671.0,1043.6,44.1,,5.6,8693.6,68.0,,1386.2,5195.5,2911.0,63.1,2018-06-24T20:19:33,,58
