BirthCity,BirthCountry,BirthDate,BirthState,College,DepthChartOrder,DepthChartPosition,DraftKingsName,DraftKingsPlayerID,Experience,FanDuelName,FanDuelPlayerID,FantasyAlarmPlayerID,FantasyDraftName,FantasyDraftPlayerID,FirstName,GlobalTeamID,Height,HighSchool,InjuryBodyPart,InjuryNotes,InjuryStartDate,InjuryStatus,Jersey,LastName,PhotoUrl,PlayerID,Position,PositionCategory,RotoWirePlayerID,RotoworldPlayerID,Salary,SportRadarPlayerID,SportsDataID,SportsDirectPlayerID,StatsPlayerID,Status,Team,TeamID,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUrl,UsaTodayPlayerID,Weight,XmlTeamPlayerID,YahooName,YahooPlayerID
Sao Carlos,,1982-09-13T00:00:00,Brazil,,1.0,C,Nene Hilario,168013.0,16,Nene Hilario,9512.0,200127,Nene Hilario,168013.0,Nene,20000022,83,,Scrambled,Scrambled,,Scrambled,42,Hilario,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000439.png,20000439,C,C,2254.0,854.0,3651480.0,f1b776e4-b59e-48c7-9e8a-272de4946b37,,542942.0,168013.0,Active,HOU,22,http://cdn.usatsimg.com/api/download/?imageID=10773035,http://cdn.usatsimg.com/api/download/?imageID=11417992,193488.0,250.0,,Nene Hilario,3605
Lodz,,1984-02-17T00:00:00,Poland,,2.0,C,Marcin Gortat,292408.0,11,Marcin Gortat,9661.0,200126,Marcin Gortat,292408.0,Marcin,20000028,83,,Scrambled,Scrambled,,Scrambled,13,Gortat,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000440.png,20000440,C,C,2641.0,1188.0,13565218.0,f0deff5f-c269-4389-9713-b8a7e70207cb,,725663.0,292408.0,Active,LAC,28,http://cdn.usatsimg.com/api/download/?imageID=10773562,http://cdn.usatsimg.com/api/download/?imageID=11575628,193714.0,240.0,1178.0,Marcin Gortat,3983
St. Louis,,1993-06-28T00:00:00,Missouri,Florida,1.0,SG,Bradley Beal,606912.0,6,Brad Beal,15595.0,200464,Bradley Beal,606912.0,Bradley,20000001,77,,Scrambled,Scrambled,,Scrambled,3,Beal,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000441.png,20000441,SG,G,3303.0,1966.0,25434263.0,ff461754-ad20-4eeb-af02-2b46cc980b24,,750970.0,606912.0,Active,WAS,1,http://cdn.usatsimg.com/api/download/?imageID=10773216,http://cdn.usatsimg.com/api/download/?imageID=11452170,193798.0,207.0,3395.0,Bradley Beal,5009
Raleigh,,1990-09-06T00:00:00,North Carolina,Kentucky,3.0,PG,John Wall,509456.0,8,John Wall,12332.0,200506,John Wall,509456.0,John,20000001,76,,Scrambled,Scrambled,2018-12-30T00:00:00,Scrambled,2,Wall,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000442.png,20000442,PG,G,3097.0,1691.0,19169800.0,6769d1ca-0581-48b0-b487-b5c87b8f696e,,745060.0,509456.0,Active,WAS,1,http://cdn.usatsimg.com/api/download/?imageID=10773097,http://cdn.usatsimg.com/api/download/?imageID=11452193,193818.0,210.0,2771.0,John Wall,4716
St. Louis,,1993-06-03T00:00:00,Missouri,Georgetown,2.0,PF,Otto Porter Jr.,609256.0,5,Otto Porter,15628.0,200185,Otto Porter Jr.,609256.0,Otto,20000001,80,,Scrambled,Scrambled,,Scrambled,22,Porter,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000443.png,20000443,SF,F,3435.0,2124.0,26011913.0,792fdc1e-e833-4777-a372-11e93e457480,,750183.0,609256.0,Active,WAS,1,http://cdn.usatsimg.com/api/download/?imageID=10773231,http://cdn.usatsimg.com/api/download/?imageID=11452183,193812.0,198.0,3614.0,Otto Porter Jr.,5154
Baton Rouge,,1986-05-08T00:00:00,Louisiana,LSU,1.0,SG,Garrett Temple,263903.0,8,Garrett Temple,11074.0,200453,Garrett Temple,263903.0,Garrett,20000021,78,,Scrambled,Scrambled,2019-01-28T00:00:00,Scrambled,17,Temple,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000452.png,20000452,SG,G,3083.0,1671.0,8000000.0,ee2644c1-1260-4bf4-9c70-7c5b0cee4770,,724387.0,263903.0,Active,MEM,21,http://cdn.usatsimg.com/api/download/?imageID=10773479,http://cdn.usatsimg.com/api/download/?imageID=11452227,193446.0,195.0,3009.0,Garrett Temple,4682
Portland,Oregon,1991-02-05T00:00:00,Oregon,Washington,2.0,SG,Terrence Ross,550049.0,6,Terrence Ross,16405.0,200441,Terrence Ross,550049.0,Terrence,20000005,79,,Scrambled,Scrambled,,Scrambled,31,Ross,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000453.png,20000453,SG,G,3313.0,1956.0,10500000.0,b7d0fa52-b5ca-4465-9bbb-3ec9b6b7b536,,749134.0,550049.0,Active,ORL,5,http://cdn.usatsimg.com/api/download/?imageID=10773261,http://cdn.usatsimg.com/api/download/?imageID=11507254,193878.0,206.0,3354.0,Terrence Ross,5014
Utena,,1992-05-06T00:00:00,Lithuania,,2.0,C,Jonas Valanciunas,599780.0,6,Jonas Valanciunas,14503.0,200109,Jonas Valanciunas,599780.0,Jonas,20000010,84,,Scrambled,Scrambled,2019-01-09T00:00:00,Scrambled,17,Valanciunas,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000455.png,20000455,C,C,3190.0,1832.0,16539326.0,c8788ad2-89f7-4ec9-a22b-dcaf6190889b,,749270.0,599780.0,Active,TOR,10,http://cdn.usatsimg.com/api/download/?imageID=10773600,http://cdn.usatsimg.com/api/download/?imageID=11497979,194028.0,265.0,3093.0,Jonas Valanciunas,4886
Compton,,1989-08-07T00:00:00,California,USC,1.0,SG,DeMar DeRozan,457594.0,9,DeMar DeRozan,9714.0,200407,DeMar DeRozan,457594.0,DeMar,20000024,79,,Scrambled,Scrambled,2019-01-28T00:00:00,Scrambled,10,DeRozan,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000456.png,20000456,SG,G,3019.0,1610.0,27739975.0,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,,740142.0,457594.0,Active,SA,24,http://cdn.usatsimg.com/api/download/?imageID=11995941,http://cdn.usatsimg.com/api/download/?imageID=11995790,193517.0,220.0,2064.0,DeMar DeRozan,4614
Philadelphia,,1986-03-25T00:00:00,Pennsylvania,Villanova,1.0,PG,Kyle Lowry,266394.0,12,Kyle Lowry,9535.0,200521,Kyle Lowry,266394.0,Kyle,20000010,73,,Scrambled,Scrambled,,Scrambled,7,Lowry,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000457.png,20000457,PG,G,2720.0,1269.0,31200000.0,8c090758-6baa-468d-82fd-d47e17d5091b,,723046.0,266394.0,Active,TOR,10,http://cdn.usatsimg.com/api/download/?imageID=10773529,http://cdn.usatsimg.com/api/download/?imageID=11497981,194019.0,196.0,1711.0,Kyle Lowry,4152
Los Angeles,,1987-05-01T00:00:00,California,,3.0,C,Amir Johnson,292407.0,13,Amir Johnson,9862.0,200327,Amir Johnson,292407.0,Amir,20000007,81,,Scrambled,Scrambled,,Scrambled,5,Johnson,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000458.png,20000458,PF,F,2638.0,1179.0,1512601.0,b6b33dc2-65be-4fe0-b153-47145c693df2,,725652.0,292407.0,Active,PHI,7,http://cdn.usatsimg.com/api/download/?imageID=10773476,http://cdn.usatsimg.com/api/download/?imageID=10416015,194089.0,240.0,1181.0,Amir Johnson,3982
Memphis,,1986-10-27T00:00:00,Tennessee,,2.0,PG,Lou Williams,292401.0,13,Louis Williams,9662.0,200373,Lou Williams,292401.0,Lou,20000028,73,,Scrambled,Scrambled,,Scrambled,23,Williams,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000459.png,20000459,SG,G,2633.0,1124.0,8000000.0,2629c593-5f7c-4d34-aec7-6b949572af2a,,725665.0,292401.0,Active,LAC,28,http://cdn.usatsimg.com/api/download/?imageID=10772777,http://cdn.usatsimg.com/api/download/?imageID=11575927,193727.0,175.0,0.0,Lou Williams,3971
Washington,,1989-03-14T00:00:00,District of Columbia,Kentucky,2.0,PF,Patrick Patterson,399599.0,8,Patrick Patterson,12340.0,200286,Patrick Patterson,399599.0,Patrick,20000018,81,,Scrambled,Scrambled,,Scrambled,54,Patterson,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000460.png,20000460,PF,F,3116.0,1722.0,5451600.0,5a25d084-9ef7-4e81-8da8-737b5a9d6ed9,,736746.0,399599.0,Active,OKC,18,http://cdn.usatsimg.com/api/download/?imageID=10772975,http://cdn.usatsimg.com/api/download/?imageID=11452265,193389.0,230.0,2840.0,Patrick Patterson,4729
