#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,James Harden,HOU,72,35.4,9.0,20.1,.449,3.7,10.0,.367,8.7,10.1,.858,4.4,2.3,0.6,4.8,5.4,8.8,1.8,0.7,30.4
2,Anthony Davis,NOP,75,36.4,10.4,19.5,.534,0.7,2.2,.340,6.6,8.0,.828,2.2,2.1,2.5,8.6,11.1,2.3,1.5,2.6,28.1
3,LeBron James,CLE,82,36.9,10.5,19.3,.542,1.8,5.0,.367,4.7,6.5,.731,4.2,1.7,1.2,7.5,8.6,9.1,1.4,0.9,27.5
4,Damian Lillard,POR,73,36.6,8.5,19.4,.439,3.1,8.6,.361,6.8,7.4,.916,2.8,1.6,0.8,3.6,4.5,6.6,1.1,0.4,26.9
5,Giannis Antetokounmpo,MIL,75,36.8,9.9,18.7,.529,0.6,1.9,.307,6.5,8.5,.760,3.0,3.1,2.1,8.0,10.0,4.8,1.5,1.4,26.9
6,Stephen Curry,GSW,51,32.0,8.4,16.9,.495,4.2,9.8,.423,5.5,5.9,.921,3.0,2.2,0.7,4.4,5.1,6.1,1.6,0.2,26.4
7,Kevin Durant,GSW,68,34.2,9.3,18.0,.516,2.5,6.1,.419,5.3,5.9,.889,3.0,2.0,0.5,6.4,6.8,5.4,0.7,1.8,26.4
8,Russell Westbrook,OKC,80,36.4,9.5,21.1,.449,1.2,4.1,.298,5.2,7.1,.737,4.8,2.5,1.9,8.2,10.1,10.2,1.8,0.2,25.4
9,Kyrie Irving,BOS,60,32.2,8.9,18.1,.491,2.8,6.8,.408,3.9,4.3,.889,2.3,2.0,0.6,3.2,3.8,5.1,1.1,0.3,24.4
10,LaMarcus Aldridge,SAS,75,33.4,9.2,18.0,.510,0.4,1.2,.293,4.5,5.3,.837,1.5,2.1,3.3,5.2,8.5,2.0,0.6,1.2,23.1
11,Victor Oladipo,IND,75,34.0,8.5,17.9,.477,2.1,5.8,.371,3.9,4.9,.799,2.9,2.3,0.6,4.6,5.2,4.3,2.4,0.8,23.1
12,DeMar DeRozan,TOR,80,33.9,8.1,17.7,.456,1.1,3.6,.310,5.8,7.0,.825,2.2,1.9,0.7,3.2,3.9,5.2,1.1,0.3,23.0
13,Joel Embiid,PHI,63,30.4,8.1,16.8,.483,1.0,3.4,.308,5.7,7.4,.769,3.7,3.3,2.3,8.7,11.0,3.2,0.6,1.8,22.9
14,Bradley Beal,WAS,82,36.3,8.3,18.1,.460,2.4,6.5,.375,3.6,4.5,.791,2.6,2.0,0.7,3.7,4.4,4.5,1.2,0.4,22.6
15,Lou Williams,LAC,79,32.8,7.4,16.9,.435,2.4,6.6,.359,5.5,6.2,.880,3.0,1.3,0.5,2.0,2.5,5.3,1.1,0.2,22.6
16,Jimmy Butler,MIN,59,36.7,7.4,15.6,.474,1.2,3.4,.350,6.2,7.2,.854,1.8,1.3,1.3,4.0,5.3,4.9,2.0,0.4,22.2
17,Kemba Walker,CHA,80,34.2,7.3,17.0,.431,2.9,7.5,.384,4.5,5.2,.864,2.2,1.2,0.4,2.7,3.1,5.5,1.1,0.3,22.1
18,Paul George,OKC,79,36.6,7.3,17.0,.430,3.1,7.7,.401,4.3,5.2,.822,2.7,2.9,0.9,4.7,5.7,3.3,2.0,0.5,21.9
19,Blake Griffin,DET,58,34.0,7.5,17.2,.438,1.9,5.6,.345,4.5,5.7,.785,2.8,2.4,1.3,6.1,7.4,5.8,0.7,0.3,21.4
20,C.J. McCollum,POR,81,36.1,8.2,18.6,.443,2.3,5.9,.397,2.6,3.1,.836,1.9,2.1,0.7,3.3,4.0,3.4,1.0,0.4,21.4
21,Karl-Anthony Towns,MIN,82,35.6,7.8,14.3,.545,1.5,3.5,.421,4.2,4.9,.858,1.9,3.5,2.9,9.4,12.3,2.4,0.8,1.4,21.3
22,Donovan Mitchell,UTA,79,33.4,7.5,17.2,.437,2.4,7.0,.340,3.0,3.8,.805,2.7,2.7,0.7,3.1,3.7,3.7,1.5,0.3,20.5
23,Khris Middleton,MIL,82,36.4,7.2,15.5,.466,1.8,5.0,.359,3.9,4.4,.884,2.3,3.3,0.5,4.7,5.2,4.0,1.5,0.3,20.1
24,Klay Thompson,GSW,73,34.3,7.9,16.1,.488,3.1,7.1,.440,1.1,1.3,.837,1.8,1.6,0.4,3.4,3.8,2.5,0.8,0.5,20.0
25,T.J. Warren,PHX,65,33.0,8.1,16.4,.498,0.3,1.4,.222,3.0,3.9,.757,1.3,2.3,1.9,3.2,5.1,1.3,1.0,0.6,19.6
26,Dennis Schroder,ATL,67,31.0,7.5,17.1,.436,1.1,3.9,.290,3.4,4.0,.849,2.7,2.2,0.7,2.4,3.1,6.2,1.1,0.1,19.4
27,Jrue Holiday,NOP,81,36.1,7.6,15.4,.494,1.5,4.4,.337,2.3,2.9,.786,2.6,2.5,0.8,3.7,4.5,6.0,1.5,0.8,19.0
28,Harrison Barnes,DAL,77,34.2,7.0,15.7,.445,1.5,4.3,.357,3.4,4.1,.827,1.5,1.2,1.0,5.1,6.1,2.0,0.6,0.2,18.9
29,Chris Paul,HOU,58,31.8,6.3,13.8,.460,2.5,6.5,.380,3.5,3.8,.919,2.2,2.4,0.6,4.8,5.4,7.9,1.7,0.2,18.6
30,Tobias Harris,LAC,80,33.4,7.0,15.3,.460,2.3,5.6,.411,2.2,2.7,.829,1.3,2.0,0.7,4.7,5.5,2.4,0.9,0.4,18.6
31,Nikola Jokic,DEN,75,32.5,6.7,13.5,.499,1.5,3.7,.396,3.5,4.2,.850,2.8,2.8,2.6,8.1,10.7,6.1,1.2,0.8,18.5
32,Eric Gordon,HOU,69,31.2,6.0,14.1,.428,3.2,8.8,.359,2.8,3.5,.809,1.9,1.7,0.4,2.1,2.5,2.2,0.6,0.4,18.0
33,Eric Bledsoe,MIL,74,31.4,6.3,13.4,.473,1.7,4.9,.347,3.4,4.3,.795,2.9,2.5,0.7,3.1,3.8,5.0,2.0,0.6,17.7
34,Andrew Wiggins,MIN,82,36.3,6.9,15.9,.438,1.4,4.1,.331,2.5,3.8,.643,1.7,2.0,1.0,3.4,4.4,2.0,1.1,0.6,17.7
35,Aaron Gordon,ORL,58,32.9,6.5,14.9,.434,2.0,5.9,.336,2.7,3.9,.698,1.8,1.9,1.5,6.4,7.9,2.3,1.0,0.8,17.6
36,Kevin Love,CLE,59,28.0,5.7,12.4,.458,2.3,5.6,.415,4.0,4.5,.880,1.5,2.0,1.7,7.5,9.3,1.7,0.7,0.4,17.6
37,Gary Harris,DEN,67,34.4,6.6,13.6,.485,2.3,5.9,.396,2.0,2.4,.827,1.8,1.8,0.6,2.1,2.6,2.9,1.8,0.2,17.5
38,Goran Dragic,MIA,75,31.7,6.5,14.3,.450,1.5,4.0,.370,2.9,3.6,.801,2.2,2.4,0.7,3.4,4.1,4.8,0.8,0.2,17.3
39,Marc Gasol,MEM,73,33.0,5.9,14.2,.420,1.5,4.4,.341,3.8,4.6,.834,2.7,2.5,1.1,7.0,8.1,4.2,0.7,1.4,17.2
40,J.J. Redick,PHI,70,30.2,5.8,12.6,.460,2.8,6.6,.420,2.8,3.1,.904,1.5,1.8,0.1,2.4,2.5,3.0,0.5,0.1,17.1
41,Jamal Murray,DEN,81,31.7,5.9,13.1,.451,2.0,5.4,.378,2.8,3.1,.905,2.1,2.1,1.0,2.7,3.7,3.4,1.0,0.3,16.7
42,Dwight Howard,CHA,81,30.4,6.2,11.2,.555,0.0,0.1,.143,4.1,7.2,.574,2.6,3.1,3.1,9.3,12.5,1.3,0.6,1.6,16.6
43,Kyle Lowry,TOR,78,32.2,5.2,12.1,.427,3.1,7.6,.399,2.9,3.3,.854,2.3,2.5,0.8,4.7,5.6,6.9,1.1,0.2,16.2
44,Carmelo Anthony,OKC,78,32.1,6.1,15.0,.404,2.2,6.1,.357,1.9,2.5,.767,1.3,2.5,0.9,4.9,5.8,1.3,0.6,0.6,16.2
45,Julius Randle,LAL,82,26.7,6.1,11.0,.558,0.1,0.5,.222,3.7,5.2,.718,2.6,3.3,2.2,5.8,8.0,2.6,0.5,0.5,16.1
46,Kyle Kuzma,LAL,77,31.2,6.1,13.5,.450,2.1,5.6,.366,1.9,2.7,.707,1.8,2.1,1.1,5.1,6.3,1.8,0.6,0.4,16.1
47,Brandon Ingram,LAL,59,33.5,6.1,12.9,.470,0.7,1.8,.390,3.3,4.8,.681,2.5,2.8,1.0,4.4,5.3,3.9,0.8,0.7,16.1
48,Ben Simmons,PHI,81,33.7,6.7,12.3,.545,0.0,0.1,.000,2.4,4.2,.560,3.4,2.6,1.8,6.3,8.1,8.2,1.7,0.9,15.8
49,Will Barton,DEN,81,33.1,5.7,12.7,.452,1.9,5.2,.370,2.2,2.8,.805,1.8,2.1,0.9,4.2,5.0,4.1,1.0,0.6,15.7
50,Nikola Mirotic,NOP,55,27.2,5.6,12.4,.447,2.5,6.5,.377,2.0,2.5,.818,1.1,2.0,1.1,6.3,7.4,1.5,0.8,0.7,15.6
51,Lauri Markkanen,CHI,68,29.7,5.5,12.7,.434,2.1,5.9,.362,2.1,2.4,.843,1.2,1.5,1.2,6.3,7.5,1.2,0.6,0.6,15.2
52,Dennis Smith,DAL,69,29.7,5.9,14.8,.395,1.5,4.9,.313,1.9,2.8,.694,2.8,2.2,0.7,3.0,3.8,5.2,1.0,0.3,15.2
53,Austin Rivers,LAC,61,33.7,5.6,13.2,.424,2.2,5.9,.378,1.7,2.6,.642,1.8,2.5,0.4,1.9,2.4,4.0,1.2,0.3,15.1
54,Andre Drummond,DET,78,33.7,6.0,11.3,.529,0.0,0.1,.000,3.1,5.1,.605,2.6,3.2,5.1,10.9,16.0,3.0,1.5,1.6,15.0
55,Otto Porter,WAS,77,31.6,5.8,11.5,.503,1.8,4.1,.441,1.4,1.7,.828,1.0,2.0,1.3,5.1,6.4,2.0,1.5,0.5,14.7
56,Rodney Hood,CLE,60,26.9,5.4,12.5,.429,2.1,5.5,.381,1.9,2.1,.860,1.2,1.8,0.4,2.4,2.8,1.6,0.8,0.2,14.7
57,Dario Saric,PHI,78,29.6,5.2,11.4,.453,2.0,5.1,.393,2.3,2.7,.860,1.9,2.1,2.0,4.7,6.7,2.6,0.7,0.3,14.6
58,Jaylen Brown,BOS,70,30.7,5.3,11.5,.465,1.7,4.4,.395,2.1,3.3,.644,1.8,2.6,0.9,4.0,4.9,1.6,1.0,0.4,14.5
59,Zach Randolph,SAC,59,25.6,6.1,12.9,.473,0.9,2.5,.347,1.4,1.8,.785,2.0,2.0,1.6,5.1,6.7,2.2,0.7,0.2,14.5
60,Jusuf Nurkic,POR,79,26.4,6.1,12.0,.505,0.0,0.1,.000,2.2,3.5,.630,2.3,3.1,2.4,6.6,9.0,1.8,0.8,1.4,14.3
61,Bojan Bogdanovic,IND,80,30.8,5.0,10.7,.474,1.9,4.8,.402,2.2,2.6,.868,1.3,1.6,0.4,3.0,3.4,1.5,0.7,0.1,14.3
62,Jeff Teague,MIN,70,33.0,5.1,11.3,.446,1.2,3.3,.368,2.9,3.4,.845,2.5,2.4,0.3,2.6,3.0,7.0,1.5,0.3,14.2
63,Taurean Prince,ATL,82,30.0,5.1,11.9,.426,2.1,5.6,.385,1.9,2.2,.844,2.3,2.0,0.6,4.1,4.7,2.6,1.0,0.5,14.1
64,Enes Kanter,NYK,71,25.8,5.9,10.0,.592,0.0,0.0,.000,2.2,2.6,.848,1.7,2.6,3.8,7.1,11.0,1.5,0.5,0.5,14.1
65,Hassan Whiteside,MIA,54,25.3,5.8,10.7,.540,0.0,0.0,1.000,2.4,3.4,.703,1.7,2.4,3.2,8.2,11.4,1.0,0.7,1.7,14.0
66,Jonathon Simmons,ORL,69,29.4,5.1,11.0,.465,1.0,3.0,.338,2.7,3.5,.768,2.1,2.5,0.9,2.6,3.5,2.5,0.8,0.2,13.9
67,Rondae Hollis-Jefferson,BRK,68,28.2,5.0,10.6,.472,0.2,0.8,.241,3.7,4.6,.788,1.8,2.1,1.5,5.3,6.8,2.5,1.0,0.7,13.9
68,Jayson Tatum,BOS,80,30.5,5.0,10.4,.475,1.3,3.0,.434,2.7,3.2,.826,1.4,2.1,0.6,4.4,5.0,1.6,1.0,0.7,13.9
69,Steven Adams,OKC,76,32.7,5.9,9.4,.629,0.0,0.0,.000,2.1,3.8,.559,1.7,2.8,5.1,4.0,9.0,1.2,1.2,1.0,13.9
70,Jordan Clarkson,CLE,81,23.3,5.3,11.8,.451,1.4,3.9,.352,1.9,2.3,.800,1.6,1.3,0.7,2.0,2.7,2.7,0.7,0.1,13.9
71,Clint Capela,HOU,74,27.5,6.0,9.1,.652,0.0,0.0,.000,1.9,3.5,.560,1.4,2.5,3.3,7.6,10.8,0.9,0.8,1.9,13.9
72,Marcus Morris,BOS,54,26.8,4.9,11.3,.429,1.6,4.3,.368,2.3,2.9,.805,1.2,1.9,0.8,4.6,5.4,1.3,0.6,0.2,13.6
73,Rudy Gobert,UTA,56,32.4,4.9,7.9,.622,0.0,0.0,.000,3.6,5.3,.682,1.9,2.7,2.9,7.8,10.7,1.4,0.8,2.3,13.5
74,Buddy Hield,SAC,80,25.3,5.2,11.7,.446,2.2,5.1,.431,0.9,1.0,.877,1.6,1.9,0.7,3.1,3.8,1.9,1.1,0.3,13.5
75,DeMarre Carroll,BRK,73,29.9,4.5,10.8,.414,2.0,5.4,.371,2.6,3.4,.764,1.4,2.3,1.4,5.1,6.6,2.0,0.8,0.4,13.5
76,Kentavious Caldwell-Pope,LAL,74,33.2,4.6,10.8,.426,2.1,5.6,.383,2.1,2.6,.789,1.3,2.0,0.8,4.4,5.2,2.2,1.4,0.2,13.4
